"","LInkZip","iMISID","ZCTA","NameLnk","NAME","PLACEFP","STATEFP","GISJOIN","SUST_MANAGER","SUST_CEOPLAN","SUST_CITCOMM","SUST_BUDGET","SUST_STAFF","POV_POL_CNT","POV_POL_PER","WAT_POL_PER","WAT_POL_CNT","EM_POL_CNT","EM_POL_PER","USTATE.","USTATE","UPO","UMETRO","STATE_GHG","STATE_WATER","STATE_POV","GEO.id","POV_PERCENT_POP","PER_CAP_INC","COL_DEG_PER","DEM_VOTE_PER","NRDC_COUNT","NRDC_PER_ZIP_POP","NRDC_PER_TOTNRDC","WATER_STRESS_RANKS","WATER_STRESS_TOPN_PER","WATER_STRESS_ABS","TOT_POP"
"65",16059,325372,"16059","42_Valencia","Valencia","79504","42","G42079504",1,0,0,0,0,0,0,0,0,0,0,42,"PA","Valencia",0,0.9,3,2.48,"8600000US16059","9.4","29848","24.1888358",36.11,18,0.00223852754632508,0,31,0,0.417056225,5453
"66",16063,176742,"16063","42_Zelienople","Zelienople","87272","42","G42087272",1,0,0,0,0,0,0,0.6,3,0,0,42,"PA","Zelienople",0,0.9,3,2.48,"8600000US16063","4.8","32740","24.612693",36.11,18,0.00266036062666273,0,31,0,0.417056225,3923
"67",16412,111765,"16412","42_Edinboro","Edinboro","22608","42","G42022608",1,0,0,0,0,0,0,0.6,3,0,0,42,"PA","Edinboro",0,0.9,3,2.48,"8600000US16412","17.6","24649","32.2633492",60.08,40,0.00356792436000357,1e-04,34,0,0.42232559,6655
"68",16438,176873,"16438","42_Union City","Union City","78448","42","G42078448",1,0,1,0,0,0,0,0,0,0,0,42,"PA","Union City",0,0.9,3,2.48,"8600000US16438","12.1","19713","13.6009036",60.08,12,0.00151095441954168,0,34,0,0.42232559,3276
"69",16652,176906,"16652","42_Huntingdon","Huntingdon","36368","42","G42036368",1,0,0,0,0,0,0,0,0,0,0,42,"PA","Huntingdon",0,0.9,3,2.48,"8600000US16652","11","19233","14.1377673",36.05,42,0.00234991327701002,1e-04,3,0,0.380232299,6759
"70",16701,176917,"16701","42_Bradford","Bradford","08040","42","G42008040",1,0,0,0,0,0,0,0,0,0,0,42,"PA","Bradford",0,0.9,3,2.48,"8600000US16701","15.5","22139","16.0849323",41.21,14,0.000781817166471212,0,34,0,0.42232559,8391
"71",16801,207853,"16801","42_State College","State College","73808","42","G42073808",1,1,0,0,1,1,0.2,0.8,4,5,1,42,"PA","State College",1,0.9,3,2.48,"8600000US16801","35.7","24283","53.9669744",55.98,178,0.00441577772264947,3e-04,3,0,0.380232299,39419
"72",16801,207642,"16801","42_State College","State College","73808","42","G42073808",1,0,0,0,0,1,0.2,0.8,4,1,0.2,42,"PA","State College",0,0.9,3,2.48,"8600000US16801","35.7","24283","53.9669744",55.98,178,0.00441577772264947,3e-04,3,0,0.380232299,9244
"73",16827,176969,"16827","42_Boalsburg","Boalsburg","07368","42","G42007368",1,0,1,0,0,1,0.2,0.2,1,2,0.4,42,"PA","Boalsburg",0,0.9,3,2.48,"8600000US16827","7.7","34413","51.11385",55.98,23,0.00573423086512092,0,3,0,0.380232299,4709
"74",16830,176973,"16830","42_Clearfield","Clearfield","14064","42","G42014064",1,0,0,1,0,0,0,0,0,0,0,42,"PA","Clearfield",0,0.9,3,2.48,"8600000US16830","17.3","21770","14.2682962",43.82,27,0.00192650731359258,0,3,0,0.380232299,6173
